X,Y,xG,lastAction,shotType,situation,result
0.9433,0.8933,0.035,Standard,RightFoot,OpenPlay,SavedShot
0.9412,0.3147,0.179,BallTouch,RightFoot,FromCorner,MissedShots
0.1089,0.5596,0.315,Pass,RightFoot,OpenPlay,MissedShots
0.7528,0.2369,0.047,Aerial,RightFoot,DirectFreekick,MissedShots
0.0383,0.5782,0.424,Standard,RightFoot,OpenPlay,MissedShots
0.8929,0.5449,0.336,TakeOn,LeftFoot,OpenPlay,Goal
0.2019,0.5249,0.167,HeadPass,RightFoot,FromCorner,SavedShot
0.7526,0.6399,0.087,Cross,Head,OpenPlay,SavedShot
0.7003,0.5903,0.07,TakeOn,RightFoot,OpenPlay,SavedShot
0.9992,0.4416,0.533,HeadPass,LeftFoot,OpenPlay,MissedShots
0.1027,0.5142,0.371,Pass,Head,OpenPlay,MissedShots
0.3903,0.5547,0.036,Cross,LeftFoot,OpenPlay,SavedShot
0.7312,0.8411,0.026,Throughball,RightFoot,OpenPlay,SavedShot
0.1751,0.4281,0.187,HeadPass,Head,Penalty,SavedShot
0.8246,0.7283,0.085,Aerial,OtherBodyPart,OpenPlay,SavedShot
0.9689,0.4087,0.393,Rebound,RightFoot,OpenPlay,Goal
0.9331,0.1841,0.064,Rebound,RightFoot,OpenPlay,MissedShots
0.0426,0.4411,0.475,Throughball,RightFoot,OpenPlay,SavedShot
0.5745,0.5442,0.028,BallTouch,Head,SetPiece,MissedShots
0.0802,0.4287,0.36,Rebound,RightFoot,OpenPlay,Goal
0.8908,0.5715,0.299,Pass,Head,OpenPlay,MissedShots
0.9032,0.281,0.125,Standard,RightFoot,OpenPlay,SavedShot
0.902,0.3657,0.225,BallTouch,RightFoot,OpenPlay,MissedShots
0.211,0.5406,0.152,Standard,LeftFoot,OpenPlay,MissedShots
0.151,0.3801,0.182,TakeOn,LeftFoot,OpenPlay,Goal
0.9217,0.6226,0.266,Standard,Head,OpenPlay,SavedShot
0.9285,0.3796,0.277,Aerial,Head,FromCorner,MissedShots
0.9889,0.2417,0.107,BallTouch,Head,SetPiece,BlockedShot
0.1716,0.5754,0.19,Aerial,LeftFoot,OpenPlay,MissedShots
0.8515,0.5738,0.226,Throughball,RightFoot,OpenPlay,MissedShots
0.232,0.4368,0.124,Aerial,Head,OpenPlay,Goal
0.9057,0.5339,0.381,HeadPass,RightFoot,FromCorner,SavedShot
0.0365,0.5854,0.404,Aerial,Head,OpenPlay,SavedShot
0.2887,0.7237,0.046,Cross,LeftFoot,FromCorner,Goal
0.0891,0.4824,0.411,Rebound,LeftFoot,OpenPlay,MissedShots
0.1279,0.066,0.023,Throughball,RightFoot,OpenPlay,MissedShots
0.0296,0.4895,0.661,HeadPass,RightFoot,OpenPlay,Goal
0.0223,0.2352,0.101,HeadPass,RightFoot,OpenPlay,SavedShot
0.2944,0.95,0.012,TakeOn,Head,OpenPlay,SavedShot
0.1218,0.4211,0.266,Cross,RightFoot,OpenPlay,Goal
0.8918,0.3118,0.15,Cross,RightFoot,OpenPlay,BlockedShot
0.9467,0.5611,0.444,Cross,RightFoot,OpenPlay,MissedShots
0.1663,0.756,0.074,Throughball,RightFoot,Penalty,BlockedShot
0.6183,0.4325,0.038,BallTouch,RightFoot,OpenPlay,MissedShots
0.0412,0.5917,0.38,Standard,LeftFoot,OpenPlay,MissedShots
0.0353,0.3924,0.343,TakeOn,RightFoot,OpenPlay,SavedShot
0.9358,0.5644,0.411,Aerial,RightFoot,OpenPlay,SavedShot
0.0462,0.3725,0.287,TakeOn,RightFoot,OpenPlay,BlockedShot
0.2216,0.4735,0.143,BallTouch,LeftFoot,OpenPlay,SavedShot
0.1705,0.2333,0.068,BallTouch,Head,OpenPlay,SavedShot
0.9147,0.5683,0.355,Rebound,RightFoot,OpenPlay,MissedShots
0.15,0.5723,0.224,Cross,RightFoot,SetPiece,MissedShots
0.834,0.5949,0.184,TakeOn,Head,FromCorner,MissedShots
0.1025,0.3593,0.211,HeadPass,RightFoot,OpenPlay,Goal
0.7526,0.4089,0.103,Pass,RightFoot,OpenPlay,BlockedShot
0.1491,0.8069,0.055,Cross,RightFoot,OpenPlay,SavedShot
0.2016,0.7334,0.072,Standard,RightFoot,OpenPlay,MissedShots
0.361,0.436,0.045,Rebound,RightFoot,SetPiece,MissedShots
0.2746,0.3675,0.074,Throughball,RightFoot,OpenPlay,MissedShots
0.1474,0.2441,0.08,TakeOn,RightFoot,OpenPlay,SavedShot
0.1444,0.4572,0.255,Standard,Head,OpenPlay,SavedShot
0.1673,0.5643,0.203,Rebound,LeftFoot,SetPiece,Goal
0.9025,0.5937,0.288,HeadPass,RightFoot,SetPiece,SavedShot
0.9036,0.5374,0.372,Rebound,Head,OpenPlay,BlockedShot
0.1287,0.2905,0.119,Rebound,RightFoot,OpenPlay,BlockedShot
0.3216,0.3751,0.054,Aerial,RightFoot,OpenPlay,BlockedShot
0.7563,0.6266,0.095,HeadPass,LeftFoot,SetPiece,BlockedShot
0.0703,0.4139,0.349,Standard,RightFoot,OpenPlay,SavedShot
0.745,0.4848,0.11,Aerial,LeftFoot,SetPiece,SavedShot
0.1861,0.9191,0.022,Throughball,RightFoot,OpenPlay,MissedShots
0.0908,0.75,0.101,Pass,RightFoot,OpenPlay,Goal
0.1629,0.4731,0.227,Rebound,Head,OpenPlay,MissedShots
0.9783,0.5471,0.561,Standard,RightFoot,OpenPlay,MissedShots
0.1011,0.4515,0.347,Standard,RightFoot,SetPiece,MissedShots
0.844,0.5082,0.244,BallTouch,RightFoot,OpenPlay,SavedShot
0.9081,0.3301,0.181,Rebound,RightFoot,Penalty,SavedShot
0.0984,0.5873,0.297,HeadPass,RightFoot,OpenPlay,Goal
0.8399,0.7512,0.078,Throughball,Head,OpenPlay,MissedShots
0.111,0.5947,0.265,BallTouch,Head,OpenPlay,Goal
0.2185,0.3024,0.08,Standard,RightFoot,OpenPlay,SavedShot
0.127,0.401,0.234,HeadPass,RightFoot,OpenPlay,MissedShots
0.952,0.3589,0.258,TakeOn,LeftFoot,FromCorner,MissedShots
0.8786,0.05,0.02,TakeOn,RightFoot,SetPiece,SavedShot
0.1241,0.5944,0.244,Cross,RightFoot,FromCorner,ShotOnPost
0.8808,0.4899,0.326,Throughball,LeftFoot,OpenPlay,SavedShot
0.2374,0.5618,0.119,Aerial,RightFoot,OpenPlay,BlockedShot
0.9643,0.5885,0.396,Throughball,LeftFoot,OpenPlay,MissedShots
0.0766,0.2755,0.127,Throughball,RightFoot,OpenPlay,ShotOnPost
0.8475,0.3906,0.189,Rebound,RightFoot,SetPiece,MissedShots
0.1076,0.4151,0.284,Cross,RightFoot,OpenPlay,SavedShot
0.0115,0.492,0.76,Rebound,Head,DirectFreekick,BlockedShot
0.9439,0.3712,0.276,Pass,RightFoot,OpenPlay,MissedShots
0.8559,0.5355,0.259,Pass,RightFoot,OpenPlay,MissedShots
0.1153,0.1801,0.056,Cross,RightFoot,SetPiece,Goal
0.9613,0.3964,0.351,Pass,RightFoot,OpenPlay,MissedShots
0.8944,0.6328,0.219,Throughball,RightFoot,OpenPlay,MissedShots
0.9042,0.2982,0.142,Standard,LeftFoot,OpenPlay,MissedShots
0.1398,0.3861,0.201,HeadPass,RightFoot,OpenPlay,MissedShots
0.9697,0.4388,0.492,Pass,RightFoot,OpenPlay,SavedShot
0.8005,0.7048,0.086,Rebound,RightFoot,OpenPlay,MissedShots
0.9466,0.2895,0.15,TakeOn,LeftFoot,OpenPlay,BlockedShot
0.9372,0.576,0.386,Standard,LeftFoot,OpenPlay,MissedShots
0.8996,0.95,0.021,BallTouch,Head,SetPiece,SavedShot
0.7495,0.3704,0.089,Aerial,Head,OpenPlay,SavedShot
0.7547,0.5491,0.115,Throughball,RightFoot,SetPiece,SavedShot
0.2006,0.7275,0.075,BallTouch,LeftFoot,DirectFreekick,BlockedShot
0.8138,0.5074,0.191,Aerial,RightFoot,OpenPlay,MissedShots
0.3555,0.9245,0.01,Pass,RightFoot,DirectFreekick,MissedShots
0.1205,0.3214,0.152,Throughball,RightFoot,OpenPlay,SavedShot
0.0765,0.6626,0.202,Aerial,RightFoot,OpenPlay,BlockedShot
0.9811,0.5144,0.703,Rebound,RightFoot,OpenPlay,BlockedShot
0.0526,0.4075,0.363,TakeOn,LeftFoot,OpenPlay,Goal
0.101,0.7731,0.083,Standard,LeftFoot,FromCorner,MissedShots
0.8558,0.3037,0.121,Throughball,Head,DirectFreekick,BlockedShot
0.1403,0.6997,0.121,TakeOn,RightFoot,OpenPlay,MissedShots
0.3289,0.6808,0.042,Aerial,LeftFoot,OpenPlay,MissedShots
0.9079,0.8037,0.067,HeadPass,LeftFoot,OpenPlay,SavedShot
0.0781,0.6588,0.206,Pass,Head,OpenPlay,Goal
0.6192,0.5464,0.04,BallTouch,RightFoot,Penalty,BlockedShot
0.9433,0.3821,0.298,TakeOn,RightFoot,SetPiece,ShotOnPost
0.9877,0.3094,0.185,Throughball,RightFoot,SetPiece,SavedShot
0.0988,0.4862,0.383,BallTouch,LeftFoot,FromCorner,BlockedShot
0.1361,0.413,0.233,Pass,RightFoot,OpenPlay,SavedShot
0.311,0.5398,0.069,TakeOn,RightFoot,OpenPlay,BlockedShot
0.1059,0.899,0.031,Rebound,LeftFoot,SetPiece,SavedShot
0.6801,0.2254,0.029,Standard,RightFoot,OpenPlay,MissedShots
0.8287,0.4575,0.207,BallTouch,LeftFoot,OpenPlay,SavedShot
0.1538,0.3463,0.149,Pass,RightFoot,FromCorner,MissedShots
0.2191,0.6615,0.096,TakeOn,RightFoot,FromCorner,BlockedShot
0.0425,0.4035,0.366,Throughball,RightFoot,DirectFreekick,SavedShot
0.927,0.4257,0.369,Cross,Head,OpenPlay,MissedShots
0.9253,0.4716,0.448,BallTouch,RightFoot,OpenPlay,SavedShot
0.1049,0.9196,0.027,Standard,LeftFoot,SetPiece,MissedShots
0.8973,0.3901,0.255,Pass,RightFoot,FromCorner,BlockedShot
0.2304,0.4669,0.132,HeadPass,LeftFoot,SetPiece,Goal
0.7494,0.8278,0.031,Rebound,RightFoot,SetPiece,Goal
0.1004,0.5354,0.363,Cross,RightFoot,FromCorner,SavedShot
0.1687,0.5048,0.22,Throughball,RightFoot,OpenPlay,MissedShots
0.0259,0.4204,0.435,Cross,Head,Penalty,BlockedShot
0.027,0.4571,0.567,TakeOn,RightFoot,DirectFreekick,SavedShot
0.2451,0.4819,0.119,Aerial,LeftFoot,OpenPlay,BlockedShot
0.7329,0.7623,0.043,Cross,RightFoot,OpenPlay,BlockedShot
0.8522,0.6409,0.166,Standard,LeftFoot,OpenPlay,MissedShots
0.1073,0.4594,0.339,Aerial,LeftFoot,SetPiece,Goal
0.1677,0.4355,0.202,Cross,RightFoot,OpenPlay,SavedShot
0.7415,0.5621,0.101,TakeOn,Head,OpenPlay,Goal
0.6599,0.5471,0.055,Throughball,RightFoot,Penalty,SavedShot
0.1325,0.4753,0.289,TakeOn,RightFoot,FromCorner,SavedShot
0.9662,0.6499,0.249,TakeOn,Head,DirectFreekick,SavedShot
0.7252,0.3738,0.076,Aerial,RightFoot,SetPiece,SavedShot
0.8728,0.415,0.25,BallTouch,RightFoot,OpenPlay,BlockedShot
0.134,0.6916,0.131,HeadPass,LeftFoot,SetPiece,BlockedShot
0.2781,0.4417,0.088,Aerial,RightFoot,SetPiece,SavedShot
0.8347,0.257,0.081,Cross,RightFoot,OpenPlay,SavedShot
0.7739,0.7955,0.043,TakeOn,Head,SetPiece,SavedShot
0.0248,0.4514,0.55,HeadPass,LeftFoot,OpenPlay,MissedShots
0.0499,0.3824,0.306,HeadPass,RightFoot,OpenPlay,Goal
0.7712,0.6339,0.102,Rebound,RightFoot,OpenPlay,SavedShot
0.9145,0.4864,0.425,Pass,LeftFoot,OpenPlay,BlockedShot
0.812,0.5048,0.189,Cross,LeftFoot,OpenPlay,MissedShots
0.904,0.1726,0.055,TakeOn,LeftFoot,OpenPlay,MissedShots
0.0836,0.4587,0.403,Cross,LeftFoot,SetPiece,SavedShot
0.0667,0.3545,0.236,Rebound,LeftFoot,OpenPlay,SavedShot
0.8415,0.3035,0.113,TakeOn,Head,OpenPlay,MissedShots
0.7836,0.4294,0.138,HeadPass,RightFoot,OpenPlay,BlockedShot
0.9705,0.4246,0.445,HeadPass,RightFoot,OpenPlay,SavedShot
0.0535,0.8044,0.072,Aerial,OtherBodyPart,OpenPlay,SavedShot
0.0904,0.5788,0.326,Aerial,RightFoot,Penalty,MissedShots
0.9335,0.3232,0.188,Aerial,Head,FromCorner,MissedShots
0.8577,0.1152,0.032,Rebound,Head,FromCorner,MissedShots
0.0634,0.4651,0.476,BallTouch,RightFoot,FromCorner,MissedShots
0.9751,0.5216,0.653,TakeOn,RightFoot,SetPiece,MissedShots
0.3857,0.3185,0.028,TakeOn,Head,SetPiece,MissedShots
0.9032,0.5772,0.316,HeadPass,LeftFoot,OpenPlay,BlockedShot
0.0224,0.356,0.265,Rebound,Head,OpenPlay,SavedShot
0.9306,0.4652,0.457,Aerial,RightFoot,SetPiece,Goal
0.003,0.4527,0.582,Pass,RightFoot,SetPiece,SavedShot
0.1891,0.5717,0.169,Rebound,LeftFoot,FromCorner,MissedShots
0.1222,0.4335,0.279,Rebound,Head,SetPiece,MissedShots
0.737,0.6523,0.075,Standard,LeftFoot,OpenPlay,SavedShot
0.7801,0.4642,0.143,Throughball,LeftFoot,OpenPlay,SavedShot
0.6461,0.412,0.046,Cross,RightFoot,OpenPlay,ShotOnPost
0.9435,0.5028,0.54,Cross,RightFoot,FromCorner,Goal
0.8787,0.5203,0.318,Throughball,RightFoot,OpenPlay,SavedShot
0.1315,0.3121,0.136,BallTouch,LeftFoot,OpenPlay,MissedShots
0.123,0.6848,0.144,Rebound,RightFoot,OpenPlay,MissedShots
0.0513,0.665,0.213,Rebound,RightFoot,SetPiece,MissedShots
0.9134,0.4603,0.397,HeadPass,RightFoot,SetPiece,SavedShot
0.9283,0.95,0.022,Pass,RightFoot,OpenPlay,MissedShots
0.871,0.5044,0.303,Cross,LeftFoot,OpenPlay,SavedShot
0.1275,0.9005,0.029,Standard,RightFoot,OpenPlay,MissedShots
0.068,0.508,0.491,Aerial,LeftFoot,Penalty,MissedShots
0.1548,0.6723,0.133,Pass,Head,SetPiece,Goal
0.9796,0.5156,0.692,Rebound,LeftFoot,OpenPlay,Goal
0.3078,0.7089,0.043,Cross,LeftFoot,FromCorner,Goal
0.0901,0.4106,0.308,Standard,RightFoot,OpenPlay,BlockedShot
0.3175,0.2205,0.029,BallTouch,RightFoot,OpenPlay,SavedShot
0.0799,0.4313,0.366,TakeOn,RightFoot,OpenPlay,MissedShots
0.903,0.2651,0.111,BallTouch,Head,OpenPlay,MissedShots
0.0404,0.2777,0.139,Cross,LeftFoot,DirectFreekick,SavedShot
0.0253,0.6603,0.232,HeadPass,RightFoot,OpenPlay,BlockedShot
0.9913,0.5583,0.53,Standard,RightFoot,OpenPlay,SavedShot
0.1059,0.6107,0.25,BallTouch,RightFoot,OpenPlay,SavedShot
0.1236,0.5338,0.305,HeadPass,RightFoot,OpenPlay,MissedShots
0.8967,0.3336,0.177,Standard,RightFoot,FromCorner,ShotOnPost
0.8627,0.6626,0.155,Aerial,LeftFoot,OpenPlay,ShotOnPost
0.8101,0.1325,0.031,Pass,LeftFoot,SetPiece,SavedShot
0.1561,0.4218,0.21,Aerial,RightFoot,OpenPlay,MissedShots
0.7521,0.5047,0.117,Throughball,Head,FromCorner,ShotOnPost
0.8717,0.2836,0.114,BallTouch,LeftFoot,SetPiece,ShotOnPost
0.727,0.941,0.013,Aerial,LeftFoot,FromCorner,BlockedShot
0.9421,0.9162,0.029,Pass,RightFoot,OpenPlay,SavedShot
0.1807,0.3613,0.137,TakeOn,OtherBodyPart,OpenPlay,SavedShot
0.2158,0.6232,0.116,TakeOn,RightFoot,SetPiece,SavedShot
0.0244,0.5088,0.69,BallTouch,RightFoot,OpenPlay,SavedShot
0.9172,0.5355,0.413,Cross,RightFoot,OpenPlay,SavedShot
0.8484,0.5076,0.252,Pass,RightFoot,FromCorner,MissedShots
0.8931,0.4062,0.272,Standard,LeftFoot,SetPiece,SavedShot
0.0273,0.2277,0.095,HeadPass,RightFoot,OpenPlay,Goal
0.1841,0.5442,0.187,Standard,RightFoot,FromCorner,MissedShots
0.1553,0.3017,0.113,Standard,RightFoot,OpenPlay,SavedShot
0.1024,0.5665,0.32,Aerial,LeftFoot,FromCorner,BlockedShot
0.849,0.3262,0.135,Throughball,Head,OpenPlay,MissedShots
0.0712,0.8223,0.061,BallTouch,RightFoot,OpenPlay,MissedShots
0.0319,0.4431,0.504,HeadPass,Head,OpenPlay,Goal
0.7513,0.5807,0.105,Cross,LeftFoot,OpenPlay,BlockedShot
0.8928,0.4819,0.356,BallTouch,RightFoot,OpenPlay,BlockedShot
0.8974,0.3863,0.25,Standard,RightFoot,FromCorner,MissedShots
0.0573,0.6174,0.299,Cross,RightFoot,SetPiece,SavedShot
0.7564,0.3946,0.102,Throughball,RightFoot,OpenPlay,MissedShots
0.0867,0.4899,0.423,Pass,Head,OpenPlay,MissedShots
0.8726,0.4439,0.279,HeadPass,RightFoot,OpenPlay,BlockedShot
0.9074,0.3784,0.25,Pass,RightFoot,OpenPlay,SavedShot
0.2107,0.5582,0.148,Rebound,LeftFoot,OpenPlay,MissedShots
0.05,0.1981,0.073,TakeOn,RightFoot,FromCorner,SavedShot
0.9129,0.2354,0.092,TakeOn,LeftFoot,FromCorner,MissedShots
0.964,0.4808,0.613,Standard,RightFoot,SetPiece,MissedShots
0.6508,0.3699,0.043,Pass,LeftFoot,OpenPlay,ShotOnPost
0.9308,0.5895,0.344,HeadPass,Head,SetPiece,MissedShots
0.9803,0.4822,0.688,Rebound,Head,FromCorner,BlockedShot
0.0597,0.8267,0.06,Pass,Head,OpenPlay,MissedShots
0.2121,0.3174,0.091,Rebound,RightFoot,FromCorner,SavedShot
0.9421,0.4654,0.495,Rebound,LeftFoot,OpenPlay,SavedShot
0.0489,0.4828,0.561,TakeOn,Head,OpenPlay,BlockedShot
0.3176,0.5025,0.067,Cross,Head,OpenPlay,SavedShot
0.8498,0.4627,0.247,HeadPass,RightFoot,Penalty,SavedShot
0.8588,0.411,0.224,BallTouch,Head,FromCorner,SavedShot
0.2607,0.5852,0.095,Cross,RightFoot,OpenPlay,MissedShots
0.2285,0.5267,0.135,Throughball,RightFoot,OpenPlay,MissedShots
0.1131,0.4356,0.3,Aerial,LeftFoot,OpenPlay,BlockedShot
0.1584,0.8089,0.053,HeadPass,RightFoot,DirectFreekick,Goal
0.2982,0.4862,0.078,Aerial,RightFoot,OpenPlay,ShotOnPost
0.913,0.418,0.327,Cross,RightFoot,OpenPlay,MissedShots
0.1021,0.4664,0.36,TakeOn,RightFoot,OpenPlay,SavedShot
0.6747,0.7906,0.026,Rebound,RightFoot,SetPiece,MissedShots
0.0387,0.271,0.133,Pass,Head,FromCorner,BlockedShot
0.2487,0.5937,0.101,Throughball,LeftFoot,OpenPlay,MissedShots
0.0724,0.4283,0.376,BallTouch,RightFoot,OpenPlay,BlockedShot
0.0079,0.3843,0.336,Rebound,RightFoot,OpenPlay,MissedShots
0.092,0.2601,0.109,HeadPass,Head,OpenPlay,SavedShot
0.8563,0.7292,0.098,BallTouch,RightFoot,OpenPlay,MissedShots
0.2189,0.2574,0.062,TakeOn,RightFoot,OpenPlay,Goal
0.1902,0.3998,0.152,Cross,LeftFoot,OpenPlay,SavedShot
0.7221,0.4401,0.087,HeadPass,RightFoot,FromCorner,MissedShots
0.8856,0.5608,0.302,HeadPass,Head,OpenPlay,SavedShot
0.741,0.2488,0.047,Rebound,Head,DirectFreekick,Goal
0.1385,0.5807,0.236,Rebound,LeftFoot,FromCorner,SavedShot
0.0324,0.6378,0.274,Aerial,RightFoot,SetPiece,ShotOnPost
0.8805,0.3729,0.211,Standard,Head,SetPiece,MissedShots
0.8594,0.394,0.208,Rebound,OtherBodyPart,OpenPlay,MissedShots
0.1671,0.3951,0.175,HeadPass,LeftFoot,OpenPlay,BlockedShot
0.8806,0.4745,0.32,BallTouch,RightFoot,OpenPlay,MissedShots
0.1317,0.5135,0.295,Aerial,LeftFoot,FromCorner,Goal
0.6798,0.489,0.066,Standard,LeftFoot,OpenPlay,Goal
0.8296,0.2692,0.086,HeadPass,Head,OpenPlay,BlockedShot
0.876,0.6465,0.183,Cross,RightFoot,OpenPlay,SavedShot
0.0972,0.4666,0.373,Standard,RightFoot,OpenPlay,MissedShots
0.0165,0.2556,0.12,Throughball,RightFoot,OpenPlay,MissedShots
0.8617,0.2545,0.089,Throughball,RightFoot,OpenPlay,Goal
0.0958,0.5035,0.395,TakeOn,RightFoot,OpenPlay,BlockedShot
0.086,0.2394,0.095,TakeOn,RightFoot,DirectFreekick,MissedShots
0.8481,0.6032,0.196,Throughball,RightFoot,DirectFreekick,MissedShots
0.1174,0.4652,0.319,Throughball,Head,OpenPlay,BlockedShot
0.895,0.5513,0.334,Throughball,RightFoot,FromCorner,BlockedShot
0.8764,0.5314,0.306,Cross,RightFoot,OpenPlay,MissedShots
0.1884,0.5767,0.167,Standard,LeftFoot,FromCorner,SavedShot
0.9811,0.4628,0.609,BallTouch,LeftFoot,OpenPlay,BlockedShot
0.7875,0.1927,0.043,Throughball,RightFoot,OpenPlay,Goal
0.9174,0.8146,0.063,TakeOn,RightFoot,DirectFreekick,BlockedShot
0.0855,0.7106,0.138,Throughball,RightFoot,DirectFreekick,MissedShots
0.952,0.2186,0.087,TakeOn,RightFoot,DirectFreekick,MissedShots
0.1257,0.3751,0.206,Rebound,LeftFoot,SetPiece,SavedShot
0.7554,0.7328,0.057,TakeOn,RightFoot,OpenPlay,MissedShots
0.9092,0.6106,0.271,Rebound,Head,FromCorner,SavedShot
0.1403,0.7196,0.106,BallTouch,LeftFoot,FromCorner,SavedShot
0.1069,0.5517,0.329,Standard,RightFoot,SetPiece,MissedShots
0.0888,0.8052,0.067,Rebound,LeftFoot,FromCorner,SavedShot
0.0453,0.4817,0.575,Aerial,LeftFoot,OpenPlay,SavedShot
0.9247,0.2939,0.147,HeadPass,Head,OpenPlay,BlockedShot
0.1377,0.4811,0.28,BallTouch,RightFoot,OpenPlay,MissedShots
0.1654,0.7249,0.091,HeadPass,Head,OpenPlay,Goal
0.1181,0.5618,0.293,Cross,LeftFoot,SetPiece,SavedShot
0.901,0.5853,0.299,BallTouch,RightFoot,OpenPlay,Goal
0.0781,0.3174,0.174,Pass,Head,DirectFreekick,MissedShots
0.8839,0.4808,0.332,Rebound,LeftFoot,OpenPlay,BlockedShot
0.2476,0.7142,0.062,BallTouch,RightFoot,OpenPlay,SavedShot
0.1149,0.3863,0.233,Rebound,RightFoot,SetPiece,MissedShots
0.1802,0.7507,0.072,BallTouch,RightFoot,OpenPlay,Goal
0.7834,0.3966,0.125,Cross,RightFoot,FromCorner,SavedShot
0.1622,0.4137,0.195,BallTouch,RightFoot,FromCorner,SavedShot
0.7998,0.5863,0.149,BallTouch,LeftFoot,Penalty,SavedShot
0.8054,0.2257,0.058,Rebound,Head,OpenPlay,MissedShots
0.1875,0.3544,0.127,TakeOn,Head,OpenPlay,MissedShots
0.0927,0.4398,0.351,Cross,LeftFoot,OpenPlay,MissedShots
